Categoria_Griglia,Nome_Griglia,Compito_Due,Compito_Tre,Cache_Usata,Sorted_Frontiera,Media_Cache_Hit,Media_Celle_Frontiera,Media_Iterazioni_Condizione,Tempo,Spazio_KB,Massima_Profondita,Esecuzioni_Corrette,Timeout,Destinazione_Irraggiungibile
DoppiaLineaSpezzata,Griglia Grande,V0,DEFAULT,false,false,0,4333247,0,1m 29s 999ms 987630ns,21.88,7,true,true,false
DoppiaLineaSpezzata,Griglia Grande,V0,PERFORMANCE_CACHE,true,false,152,490,0,21ms 597810ns,184.38,59,true,false,false
DoppiaLineaSpezzata,Griglia Grande,V0,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,4522448,0,1m 30s 0ms 78310ns,21.88,7,true,true,false
DoppiaLineaSpezzata,Griglia Grande,V0,PERFORMANCE_FULL,true,true,152,490,0,23ms 827780ns,187.50,60,true,false,false
DoppiaLineaSpezzata,Griglia Grande,V0,PERFORMANCE_NO_CACHE,false,true,0,4424103,0,1m 30s 0ms 39800ns,22.19,7,true,true,false
DoppiaLineaSpezzata,Griglia Grande,V0,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,152,490,0,22ms 35720ns,187.50,60,true,false,false
DoppiaLineaSpezzata,Griglia Grande,V0,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,152,490,0,31ms 96730ns,184.38,59,true,false,false
DoppiaLineaSpezzata,Griglia Grande,V0,PERFORMANCE_SORTED_FRONTIERA,false,true,0,4665112,0,1m 30s 0ms 31180ns,22.19,7,true,true,false
DoppiaLineaSpezzata,Griglia Grande,V0,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,21123,0,458ms 631220ns,240.63,77,true,false,false
DoppiaLineaSpezzata,Griglia Grande,V0,PERFORMANCE,true,true,152,490,0,20ms 464580ns,187.50,60,true,false,false
DoppiaLineaSpezzata,Griglia Media,V0,DEFAULT,false,false,0,524797,0,5s 950ms 91360ns,57.81,37,true,false,false
DoppiaLineaSpezzata,Griglia Media,V0,PERFORMANCE_CACHE,true,false,62,220,0,6ms 168170ns,45.31,29,true,false,false
DoppiaLineaSpezzata,Griglia Media,V0,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,524797,0,6s 135ms 857980ns,57.81,37,true,false,false
DoppiaLineaSpezzata,Griglia Media,V0,PERFORMANCE_FULL,true,true,62,220,0,6ms 345300ns,46.88,30,true,false,false
DoppiaLineaSpezzata,Griglia Media,V0,PERFORMANCE_NO_CACHE,false,true,0,524797,0,6s 76ms 738840ns,57.81,37,true,false,false
DoppiaLineaSpezzata,Griglia Media,V0,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,62,220,0,7ms 474270ns,46.88,30,true,false,false
DoppiaLineaSpezzata,Griglia Media,V0,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,62,220,0,9ms 734460ns,45.31,29,true,false,false
DoppiaLineaSpezzata,Griglia Media,V0,PERFORMANCE_SORTED_FRONTIERA,false,true,0,524797,0,6s 114ms 887230ns,57.81,37,true,false,false
DoppiaLineaSpezzata,Griglia Media,V0,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,1790,0,29ms 991310ns,57.81,37,true,false,false
DoppiaLineaSpezzata,Griglia Media,V0,PERFORMANCE,true,true,62,220,0,4ms 457330ns,46.88,30,true,false,false
DoppiaLineaSpezzata,Griglia Piccola,V0,DEFAULT,false,false,0,706,0,75ms 35050ns,14.06,18,true,false,false
DoppiaLineaSpezzata,Griglia Piccola,V0,PERFORMANCE_CACHE,true,false,13,57,0,1ms 161040ns,11.72,15,true,false,false
DoppiaLineaSpezzata,Griglia Piccola,V0,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,706,0,4ms 786380ns,14.06,18,true,false,false
DoppiaLineaSpezzata,Griglia Piccola,V0,PERFORMANCE_FULL,true,true,13,57,0,1ms 70570ns,12.50,16,true,false,false
DoppiaLineaSpezzata,Griglia Piccola,V0,PERFORMANCE_NO_CACHE,false,true,0,706,0,10ms 713710ns,14.06,18,true,false,false
DoppiaLineaSpezzata,Griglia Piccola,V0,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,13,57,0,1ms 92140ns,12.50,16,true,false,false
DoppiaLineaSpezzata,Griglia Piccola,V0,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,13,57,0,4ms 188010ns,11.72,15,true,false,false
DoppiaLineaSpezzata,Griglia Piccola,V0,PERFORMANCE_SORTED_FRONTIERA,false,true,0,706,0,5ms 907220ns,14.06,18,true,false,false
DoppiaLineaSpezzata,Griglia Piccola,V0,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,201,0,7ms 273990ns,14.06,18,true,false,false
DoppiaLineaSpezzata,Griglia Piccola,V0,PERFORMANCE,true,true,13,57,0,1ms 132240ns,12.50,16,true,false,false
DoppiaLineaSpezzata,Griglia Grande,V1,DEFAULT,false,false,0,10400140,0,1m 30s 0ms 60730ns,22.19,7,true,true,false
DoppiaLineaSpezzata,Griglia Grande,V1,PERFORMANCE_CACHE,true,false,71,257,0,24ms 745830ns,184.38,59,true,false,false
DoppiaLineaSpezzata,Griglia Grande,V1,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,10639203,0,1m 30s 0ms 40230ns,22.19,7,true,true,false
DoppiaLineaSpezzata,Griglia Grande,V1,PERFORMANCE_FULL,true,true,71,257,0,22ms 191240ns,184.38,59,true,false,false
DoppiaLineaSpezzata,Griglia Grande,V1,PERFORMANCE_NO_CACHE,false,true,0,10694253,0,1m 30s 0ms 70050ns,22.50,7,true,true,false
DoppiaLineaSpezzata,Griglia Grande,V1,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,71,257,0,20ms 601800ns,184.38,59,true,false,false
DoppiaLineaSpezzata,Griglia Grande,V1,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,71,257,0,22ms 549330ns,184.38,59,true,false,false
DoppiaLineaSpezzata,Griglia Grande,V1,PERFORMANCE_SORTED_FRONTIERA,false,true,0,10777821,0,1m 30s 0ms 33090ns,22.50,7,true,true,false
DoppiaLineaSpezzata,Griglia Grande,V1,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,21077,0,597ms 374150ns,240.63,77,true,false,false
DoppiaLineaSpezzata,Griglia Grande,V1,PERFORMANCE,true,true,71,257,0,19ms 684320ns,184.38,59,true,false,false
DoppiaLineaSpezzata,Griglia Media,V1,DEFAULT,false,false,0,524627,0,3s 793ms 808810ns,57.81,37,true,false,false
DoppiaLineaSpezzata,Griglia Media,V1,PERFORMANCE_CACHE,true,false,31,117,0,5ms 502480ns,45.31,29,true,false,false
DoppiaLineaSpezzata,Griglia Media,V1,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,524627,0,3s 795ms 826920ns,57.81,37,true,false,false
DoppiaLineaSpezzata,Griglia Media,V1,PERFORMANCE_FULL,true,true,31,117,0,6ms 600610ns,45.31,29,true,false,false
DoppiaLineaSpezzata,Griglia Media,V1,PERFORMANCE_NO_CACHE,false,true,0,524627,0,4s 36ms 234370ns,57.81,37,true,false,false
DoppiaLineaSpezzata,Griglia Media,V1,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,31,117,0,5ms 616610ns,45.31,29,true,false,false
DoppiaLineaSpezzata,Griglia Media,V1,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,31,117,0,6ms 878070ns,45.31,29,true,false,false
DoppiaLineaSpezzata,Griglia Media,V1,PERFORMANCE_SORTED_FRONTIERA,false,true,0,524627,0,3s 753ms 258620ns,57.81,37,true,false,false
DoppiaLineaSpezzata,Griglia Media,V1,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,1780,0,32ms 913710ns,57.81,37,true,false,false
DoppiaLineaSpezzata,Griglia Media,V1,PERFORMANCE,true,true,31,117,0,4ms 868710ns,45.31,29,true,false,false
DoppiaLineaSpezzata,Griglia Piccola,V1,DEFAULT,false,false,0,706,0,37ms 763870ns,14.06,18,true,false,false
